Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Shares Short (prior month
0,0,A,0,0,0,0,24830000000.0,24340000000.0,22.27,22.93,2.37,4.98,4.94,4.88,20.27,22.86,19.81,7.0,23.84,4990000000.0,15.6,6.0,2690000000.0,1200000000.0,1140000000.0,3.51,,2060000000.0,6.48,1800000000.0,35.7,3.39,15.84,1080000000.0,626880000.0,1.27,79.51,72.91,1810000.0,317520000.0,316670000.0,0.36,88.24,3690000.0,2.58,1.17,4370000.0
0,0,AA,0,0,0,0,4810000000.0,7590000000.0,,10.5,-3.68,0.37,0.93,0.58,3.02,-1.28,13.83,6.82,6.48,13030000000.0,70.12,-12.0,3320000000.0,2510000000.0,-167000000.0,-0.9,,1020000000.0,5.48,1800000000.0,25.45,1.47,27.8,561000000.0,1100000000.0,1.38,28.18,30.05,3500000.0,185520000.0,185170000.0,6.07,0.0,6420000.0,2.01,4.47,4270000.0
0,0,AAPL,0,0,0,0,963610000000.0,17.59,17.59,16.35,1.41,3.73,9.1,3.88,12.96,22.12,25.34,11.54,49.13,258490000000.0,54.15,-5.1,101840000000.0,77340000000.0,57170000000.0,11.89,-16.4,80090000000.0,17.38,112630000000.0,106.39,1.32,22.98,71860000000.0,45860000000.0,0.91,196.13,181.95,27240000.0,4610000000.0,4350000000.0,0.07,60.95,61000000.0,2.06,1.29,72750000.0
0,0,ABBV,0,0,0,0,115990000000.0,149360000000.0,22.35,8.29,1.17,3.55,,4.57,10.73,16.42,37.24,,,32650000000.0,21.58,-1.3,25040000000.0,13920000000.0,5330000000.0,3.51,-11.7,8060000000.000001,5.47,40310000000.0,,,-5.71,,,0.99,80.55,83.67,5930000.0,1480000000.0,1470000000.0,0.09,71.89,27580000.0,5.15,2.12,22780000.0
0,0,ABC,0,0,0,0,16270000000.0,17740000000.0,14.14,10.53,1.45,0.09,5.33,0.1,8.22,0.69,0.94,2.7,37.94,172870000000.0,799.18,12.2,4580000000.0,2160000000.0,1190000000.0,5.45,-54.3,2540000000.0,12.03,4670000000.0,147.65,0.94,14.45,1880000000.0,945800000.0,1.53,76.36,81.42,1390000.0,211090000.0,153730000.0,27.13,67.99,7030000.0,4.82,4.54,7510000.0
0,0,ABT,0,0,0,0,138980000000.0,155420000000.0,53.45,21.88,2.1,4.52,4.53,5.06,21.28,8.53,13.21,,,30720000000.0,17.45,2.0,17920000000.0,7300000000.0,2580000000.0,1.47,60.8,4090000000.0,2.33,19570000000.0,63.69,,17.39,,,0.88,78.28,73.27,5700000.0,1760000000.0,1740000000.0,0.72,76.49,13070000.0,2.4,0.76,16020000.0
0,0,ACE,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,ACI,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,ACN,0,0,0,0,114420000000.0,111590000000.0,26.1,22.54,2.79,2.8,8.58,2.73,16.72,10.95,14.91,15.06,37.56,40840000000.0,63.87,5.5,12440000000.0,6680000000.0,4470000000.0,6.87,30.2,4470000000.0,7.01,24120000.0,0.18,1.35,20.91,6480000000.0,5360000000.0,1.14,174.67,160.4,1880000.0,637830000.0,636570000.0,0.23,72.46,4970000.0,2.24,0.78,5320000.0
0,0,ACT,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
